Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-05-31,4e7557a6,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,346352985.3,4.702,1.84,98.16,58.2,39.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.019072388383181593,-0.021948830223693094,1
2015-03-31,4e782929,Euro,Monthly,Insurance Product Fund,Italy,,1e-08,29.422,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0
2015-04-30,4e782929,Euro,Monthly,Insurance Product Fund,Italy,,1e-08,29.266,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,-0.005302154850112206,1e-08,0
2015-05-31,4e782929,Euro,Monthly,Insurance Product Fund,Italy,,1e-08,29.266,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.0,1e-08,0
2015-03-31,4e9739d1,Euro,Daily,Insurance Product Fund,Ireland,Pound Sterling,848264.27,1.607,7.24,24.49,4.05,20.44,63.46,19.95,43.51,4.82,13.74,0.0,47.76,3.45,7.15,0.09,1e-08,1e-08,0
2015-04-30,4e9739d1,Euro,Daily,Insurance Product Fund,Ireland,Pound Sterling,764486.1,1.665,7.22,24.73,4.18,20.55,63.26,19.84,43.42,4.79,13.84,0.0,47.35,3.58,7.16,0.05,0.03609209707529559,-0.09876423299074011,0
2015-05-31,4e9739d1,Euro,Daily,Insurance Product Fund,Ireland,Pound Sterling,784397.5,1.681,6.82,25.11,4.36,20.75,63.22,19.69,43.54,4.84,13.58,0.0,47.63,3.61,6.8,0.03,0.00960960960960966,0.026045470283893923,0
2015-03-31,4ec8456c,Euro,Daily,Open-End Fund,Luxembourg,Euro,23800219.3,1.826,14.94,85.06,43.97,41.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93,0.01,1e-08,1e-08,1
2015-04-30,4ec8456c,Euro,Daily,Open-End Fund,Luxembourg,Euro,22842836.94,1.893,14.05,85.95,45.9,40.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,0.01,0.0366922234392113,-0.040225778928011824,1
2015-05-31,4ec8456c,Euro,Daily,Open-End Fund,Luxembourg,Euro,23903376.7,1.94,12.07,87.93,47.72,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,0.0,0.02482831484416259,0.046427672831779176,1
2015-03-31,4ed366b6,Euro,Daily,Open-End Fund,France,Euro,19391980.37,112.06,0.79,0.0,0.0,0.0,0.0,0.0,0.0,99.21,0.0,0.0,0.0,0.0,0.79,0.0,1e-08,1e-08,0
2015-04-30,4ed366b6,Euro,Daily,Open-End Fund,France,Euro,20248637.81,116.732,0.41,0.0,0.0,0.0,0.0,0.0,0.0,99.59,0.0,0.0,0.0,0.0,0.41,0.0,0.041691950740674555,0.04417586154971942,0
2015-05-31,4ed366b6,Euro,Daily,Open-End Fund,France,Euro,20272449.6,117.935,0.47,0.0,0.0,0.0,0.0,0.0,0.0,99.53,0.0,0.0,0.0,0.0,0.47,0.0,0.010305657403282709,0.0011759699701006099,0
